,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
10,N. Blasucci,17,Switzerland,50,67,FC St. Gallen,ST,49.0,25.0,28.0,50.0,41.0,49.0,30.0,25.0,41.0,28.0,50.0,47.0,49.0,50.0,32.0,49.0,30.0,25.0,41.0,28.0,50.0,47.0,49.0,50.0,32.0,49.0
11,G. Fasolo,18,Italy,50,65,Cittadella,ST,53.0,27.0,35.0,52.0,48.0,53.0,34.0,27.0,48.0,35.0,52.0,53.0,49.0,53.0,38.0,53.0,34.0,27.0,48.0,35.0,52.0,53.0,49.0,53.0,38.0,49.0
12,S. Nolan,17,Republic of Ireland,50,62,Bohemian FC,ST,49.0,33.0,36.0,50.0,44.0,49.0,39.0,33.0,44.0,36.0,50.0,50.0,49.0,50.0,40.0,49.0,39.0,33.0,44.0,36.0,50.0,50.0,49.0,50.0,40.0,49.0
13,J. Johansson,18,Denmark,50,64,FC Nordsjælland,ST,47.0,30.0,32.0,48.0,41.0,47.0,32.0,30.0,41.0,32.0,48.0,46.0,49.0,47.0,34.0,47.0,32.0,30.0,41.0,32.0,48.0,46.0,49.0,47.0,34.0,49.0
14,S. Kogut,20,Poland,50,59,Termalica Bruk-Bet Nieciecza,ST,44.0,32.0,31.0,46.0,38.0,44.0,32.0,32.0,38.0,31.0,46.0,44.0,49.0,45.0,34.0,44.0,32.0,32.0,38.0,31.0,46.0,44.0,49.0,45.0,34.0,49.0
15,A. Berisha,19,Sweden,50,65,Halmstads BK,ST,43.0,39.0,36.0,45.0,40.0,43.0,35.0,39.0,40.0,36.0,45.0,42.0,49.0,43.0,35.0,43.0,35.0,39.0,40.0,36.0,45.0,42.0,49.0,43.0,35.0,49.0
16,A. Rose,18,Jamaica,50,60,Grimsby Town,ST,47.0,36.0,36.0,49.0,42.0,47.0,40.0,36.0,42.0,36.0,49.0,48.0,49.0,49.0,40.0,47.0,40.0,36.0,42.0,36.0,49.0,48.0,49.0,49.0,40.0,49.0
17,J. Aherne,18,Republic of Ireland,50,64,Bray Wanderers,ST,48.0,34.0,35.0,50.0,43.0,48.0,38.0,34.0,43.0,35.0,50.0,49.0,49.0,50.0,39.0,48.0,38.0,34.0,43.0,35.0,50.0,49.0,49.0,50.0,39.0,49.0
18,A. Bruseth,18,Norway,50,62,Kristiansund BK,ST,46.0,29.0,29.0,48.0,39.0,46.0,32.0,29.0,39.0,29.0,48.0,46.0,49.0,48.0,33.0,46.0,32.0,29.0,39.0,29.0,48.0,46.0,49.0,48.0,33.0,49.0
19,E. Mason-Clark,17,England,50,63,Barnet,ST,49.0,33.0,35.0,49.0,42.0,49.0,39.0,33.0,42.0,35.0,49.0,50.0,45.0,51.0,40.0,49.0,39.0,33.0,42.0,35.0,49.0,50.0,45.0,51.0,40.0,45.0
20,L. Demaj,19,Germany,50,64,SV Meppen,ST,49.0,27.0,31.0,50.0,42.0,49.0,34.0,27.0,42.0,31.0,50.0,49.0,49.0,51.0,36.0,49.0,34.0,27.0,42.0,31.0,50.0,49.0,49.0,51.0,36.0,49.0
21,J. Gray,19,Republic of Ireland,50,60,Stevenage,ST,47.0,27.0,29.0,48.0,39.0,47.0,31.0,27.0,39.0,29.0,48.0,46.0,49.0,48.0,32.0,47.0,31.0,27.0,39.0,29.0,48.0,46.0,49.0,48.0,32.0,49.0
22,M. Moric,17,Australia,50,66,Newcastle Jets,ST,49.0,28.0,32.0,50.0,43.0,49.0,33.0,28.0,43.0,32.0,50.0,48.0,49.0,49.0,35.0,49.0,33.0,28.0,43.0,32.0,50.0,48.0,49.0,49.0,35.0,49.0
23,J. McMenemy,18,England,50,64,Lincoln City,ST,45.0,30.0,31.0,47.0,39.0,45.0,34.0,30.0,39.0,31.0,47.0,46.0,49.0,47.0,36.0,45.0,34.0,30.0,39.0,31.0,47.0,46.0,49.0,47.0,36.0,49.0
24,H. Sharahili,24,Saudi Arabia,51,58,Al Batin,ST,47.0,31.0,31.0,49.0,40.0,47.0,35.0,31.0,40.0,31.0,49.0,47.0,50.0,49.0,36.0,47.0,35.0,31.0,40.0,31.0,49.0,47.0,50.0,49.0,36.0,50.0
25,M. O'Connor,18,Republic of Ireland,51,64,Shamrock Rovers,ST,47.0,31.0,32.0,49.0,41.0,47.0,34.0,31.0,41.0,32.0,49.0,46.0,50.0,47.0,35.0,47.0,34.0,31.0,41.0,32.0,49.0,46.0,50.0,47.0,35.0,50.0
26,A. Georgiou,17,Cyprus,51,65,Stevenage,ST,46.0,30.0,31.0,49.0,39.0,46.0,34.0,30.0,39.0,31.0,49.0,47.0,50.0,49.0,35.0,46.0,34.0,30.0,39.0,31.0,49.0,47.0,50.0,49.0,35.0,50.0
27,K. Weber,20,Denmark,51,63,Odense Boldklub,ST,48.0,32.0,33.0,49.0,43.0,48.0,33.0,32.0,43.0,33.0,49.0,46.0,50.0,47.0,34.0,48.0,33.0,32.0,43.0,33.0,49.0,46.0,50.0,47.0,34.0,50.0
28,E. McCormack,22,Republic of Ireland,51,58,Galway United,ST,46.0,31.0,32.0,49.0,41.0,46.0,33.0,31.0,41.0,32.0,49.0,46.0,50.0,48.0,34.0,46.0,33.0,31.0,41.0,32.0,49.0,46.0,50.0,48.0,34.0,50.0
29,R. Meshino,19,Japan,51,64,Gamba Osaka,ST,47.0,28.0,30.0,49.0,41.0,47.0,32.0,28.0,41.0,30.0,49.0,47.0,50.0,48.0,34.0,47.0,32.0,28.0,41.0,30.0,49.0,47.0,50.0,48.0,34.0,50.0
30,A. Gilchrist,22,Scotland,51,61,St. Johnstone FC,ST,50.0,50.0,47.0,52.0,47.0,50.0,49.0,50.0,47.0,47.0,52.0,49.0,52.0,50.0,48.0,50.0,49.0,50.0,47.0,47.0,52.0,49.0,52.0,50.0,48.0,52.0
31,J. Dyche,19,England,51,67,Scunthorpe United,ST,49.0,48.0,46.0,50.0,47.0,49.0,48.0,48.0,47.0,46.0,50.0,50.0,50.0,50.0,48.0,49.0,48.0,48.0,47.0,46.0,50.0,50.0,50.0,50.0,48.0,50.0
32,M. Warming,17,Denmark,51,66,Brøndby IF,ST,50.0,36.0,40.0,49.0,47.0,50.0,40.0,36.0,47.0,40.0,49.0,50.0,47.0,50.0,42.0,50.0,40.0,36.0,47.0,40.0,49.0,50.0,47.0,50.0,42.0,47.0
33,A. Nadesan,22,England,51,55,Fleetwood Town,ST,45.0,30.0,30.0,47.0,39.0,45.0,32.0,30.0,39.0,30.0,47.0,44.0,50.0,46.0,33.0,45.0,32.0,30.0,39.0,30.0,47.0,44.0,50.0,46.0,33.0,50.0
34,F. Roepstorff,19,Denmark,51,70,FC Helsingør,ST,52.0,40.0,44.0,51.0,50.0,52.0,42.0,40.0,50.0,44.0,51.0,52.0,48.0,51.0,44.0,52.0,42.0,40.0,50.0,44.0,51.0,52.0,48.0,51.0,44.0,48.0
35,O. Dale,18,England,51,68,Crewe Alexandra,ST,46.0,30.0,31.0,49.0,39.0,46.0,35.0,30.0,39.0,31.0,49.0,47.0,50.0,48.0,36.0,46.0,35.0,30.0,39.0,31.0,49.0,47.0,50.0,48.0,36.0,50.0
36,J. Iaciofano,18,England,51,67,Northampton Town,ST,50.0,28.0,33.0,52.0,43.0,50.0,35.0,28.0,43.0,33.0,52.0,51.0,50.0,52.0,37.0,50.0,35.0,28.0,43.0,33.0,52.0,51.0,50.0,52.0,37.0,50.0
37,P. Camará,20,Guinea Bissau,51,66,Crawley Town,ST,47.0,29.0,30.0,49.0,40.0,47.0,35.0,29.0,40.0,30.0,49.0,48.0,50.0,50.0,36.0,47.0,35.0,29.0,40.0,30.0,49.0,48.0,50.0,50.0,36.0,50.0
38,N. Gómez,20,Colombia,51,63,Deportivo Pasto,ST,48.0,31.0,32.0,50.0,42.0,48.0,35.0,31.0,42.0,32.0,50.0,48.0,50.0,49.0,37.0,48.0,35.0,31.0,42.0,32.0,50.0,48.0,50.0,49.0,37.0,50.0
39,P. Almqvist,17,Sweden,51,68,IFK Norrköping,ST,51.0,43.0,47.0,50.0,50.0,51.0,48.0,43.0,50.0,47.0,50.0,52.0,47.0,51.0,48.0,51.0,48.0,43.0,50.0,47.0,50.0,52.0,47.0,51.0,48.0,47.0
40,M. Penfold,18,England,52,68,Peterborough United,ST,48.0,29.0,30.0,50.0,41.0,48.0,33.0,29.0,41.0,30.0,50.0,47.0,51.0,49.0,34.0,48.0,33.0,29.0,41.0,30.0,50.0,47.0,51.0,49.0,34.0,51.0
41,R. Dingwall,20,Scotland,52,66,Ross County FC,ST,49.0,30.0,32.0,50.0,43.0,49.0,33.0,30.0,43.0,32.0,50.0,47.0,51.0,49.0,34.0,49.0,33.0,30.0,43.0,32.0,50.0,47.0,51.0,49.0,34.0,51.0
42,G. Newell,20,England,52,62,Motherwell,ST,47.0,33.0,33.0,49.0,42.0,47.0,33.0,33.0,42.0,33.0,49.0,46.0,51.0,48.0,35.0,47.0,33.0,33.0,42.0,33.0,49.0,46.0,51.0,48.0,35.0,51.0
43,P. Waring,18,Australia,52,69,Melbourne Victory,ST,48.0,28.0,29.0,50.0,41.0,48.0,32.0,28.0,41.0,29.0,50.0,48.0,51.0,49.0,34.0,48.0,32.0,28.0,41.0,29.0,50.0,48.0,51.0,49.0,34.0,51.0
44,S. Passi,22,India,52,61,,ST,47.0,37.0,37.0,49.0,42.0,47.0,39.0,37.0,42.0,37.0,49.0,48.0,51.0,49.0,40.0,47.0,39.0,37.0,42.0,37.0,49.0,48.0,51.0,49.0,40.0,51.0
45,K. Ekman,19,Sweden,52,68,Jönköpings Södra IF,ST,47.0,29.0,30.0,49.0,41.0,47.0,33.0,29.0,41.0,30.0,49.0,46.0,51.0,48.0,34.0,47.0,33.0,29.0,41.0,30.0,49.0,46.0,51.0,48.0,34.0,51.0
46,M. Jay,21,England,52,59,Exeter City,ST,49.0,30.0,32.0,51.0,41.0,49.0,36.0,30.0,41.0,32.0,51.0,48.0,51.0,51.0,37.0,49.0,36.0,30.0,41.0,32.0,51.0,48.0,51.0,51.0,37.0,51.0
47,C. Farren,18,Northern Ireland,52,63,Derry City,ST,47.0,34.0,34.0,49.0,41.0,47.0,35.0,34.0,41.0,34.0,49.0,46.0,51.0,47.0,36.0,47.0,35.0,34.0,41.0,34.0,49.0,46.0,51.0,47.0,36.0,51.0
48,E. Jakobsen,19,Denmark,52,71,Derby County,ST,48.0,36.0,37.0,49.0,44.0,48.0,38.0,36.0,44.0,37.0,49.0,48.0,51.0,48.0,39.0,48.0,38.0,36.0,44.0,37.0,49.0,48.0,51.0,48.0,39.0,51.0
49,J. Barrigan,19,England,52,67,Wigan Athletic,ST,46.0,29.0,30.0,49.0,40.0,46.0,31.0,29.0,40.0,30.0,49.0,45.0,51.0,47.0,32.0,46.0,31.0,29.0,40.0,30.0,49.0,45.0,51.0,47.0,32.0,51.0
50,K. Velde,17,Norway,52,62,FK Haugesund,ST,49.0,31.0,33.0,51.0,42.0,49.0,34.0,31.0,42.0,33.0,51.0,48.0,51.0,49.0,35.0,49.0,34.0,31.0,42.0,33.0,51.0,48.0,51.0,49.0,35.0,51.0
51,M. Gillam,18,England,52,66,Rochdale,ST,50.0,30.0,32.0,51.0,43.0,50.0,33.0,30.0,43.0,32.0,51.0,49.0,51.0,51.0,35.0,50.0,33.0,30.0,43.0,32.0,51.0,49.0,51.0,51.0,35.0,51.0
52,C. McLennan,17,Scotland,52,72,Aberdeen,ST,49.0,33.0,35.0,50.0,44.0,49.0,35.0,33.0,44.0,35.0,50.0,48.0,51.0,49.0,36.0,49.0,35.0,33.0,44.0,35.0,50.0,48.0,51.0,49.0,36.0,51.0
53,P. Sabbag,20,Colombia,52,67,Asociacion Deportivo Cali,ST,45.0,33.0,34.0,48.0,41.0,45.0,34.0,33.0,41.0,34.0,48.0,44.0,51.0,46.0,35.0,45.0,34.0,33.0,41.0,34.0,48.0,44.0,51.0,46.0,35.0,51.0
54,K. Krygård,17,Norway,53,60,FK Haugesund,ST,48.0,34.0,34.0,50.0,42.0,48.0,35.0,34.0,42.0,34.0,50.0,48.0,52.0,49.0,36.0,48.0,35.0,34.0,42.0,34.0,50.0,48.0,52.0,49.0,36.0,52.0
55,Lee Jung Jin,23,Korea Republic,53,60,Gangwon FC,ST,51.0,39.0,42.0,52.0,48.0,51.0,43.0,39.0,48.0,42.0,52.0,51.0,52.0,51.0,43.0,51.0,43.0,39.0,48.0,42.0,52.0,51.0,52.0,51.0,43.0,52.0
56,M. Al Maqadi,28,Saudi Arabia,53,53,Ettifaq FC,ST,46.0,33.0,32.0,49.0,41.0,46.0,32.0,33.0,41.0,32.0,49.0,45.0,52.0,47.0,33.0,46.0,32.0,33.0,41.0,32.0,49.0,45.0,52.0,47.0,33.0,52.0
57,R. Webb-Foster,19,England,53,68,Bradford City,ST,48.0,29.0,32.0,51.0,41.0,48.0,36.0,29.0,41.0,32.0,51.0,49.0,52.0,50.0,37.0,48.0,36.0,29.0,41.0,32.0,51.0,49.0,52.0,50.0,37.0,52.0
58,A. Waagan,17,Norway,53,68,Aalesunds FK,ST,49.0,30.0,33.0,51.0,43.0,49.0,35.0,30.0,43.0,33.0,51.0,49.0,52.0,51.0,37.0,49.0,35.0,30.0,43.0,33.0,51.0,49.0,52.0,51.0,37.0,52.0
59,E. Gajko,21,Poland,53,61,Jagiellonia Białystok,ST,50.0,33.0,37.0,50.0,46.0,50.0,37.0,33.0,46.0,37.0,50.0,50.0,52.0,50.0,39.0,50.0,37.0,33.0,46.0,37.0,50.0,50.0,52.0,50.0,39.0,52.0
60,F. Sosa,17,Argentina,53,75,Temperley,ST,50.0,34.0,36.0,51.0,44.0,50.0,40.0,34.0,44.0,36.0,51.0,51.0,52.0,52.0,41.0,50.0,40.0,34.0,44.0,36.0,51.0,51.0,52.0,52.0,41.0,52.0
61,H. Nilsen,18,Norway,53,65,Sandefjord Fotball,ST,47.0,31.0,32.0,49.0,42.0,47.0,32.0,31.0,42.0,32.0,49.0,46.0,52.0,47.0,33.0,47.0,32.0,31.0,42.0,32.0,49.0,46.0,52.0,47.0,33.0,52.0
62,T. Seferi,20,FYR Macedonia,53,68,BSC Young Boys,ST,49.0,33.0,34.0,51.0,44.0,49.0,35.0,33.0,44.0,34.0,51.0,48.0,52.0,50.0,37.0,49.0,35.0,33.0,44.0,34.0,51.0,48.0,52.0,50.0,37.0,52.0
63,P. Schoch,18,Germany,53,69,SpVgg Unterhaching,ST,46.0,36.0,36.0,49.0,41.0,46.0,37.0,36.0,41.0,36.0,49.0,46.0,52.0,48.0,38.0,46.0,37.0,36.0,41.0,36.0,49.0,46.0,52.0,48.0,38.0,52.0
64,G. Morrison,19,Scotland,53,64,Ross County FC,ST,48.0,30.0,31.0,50.0,41.0,48.0,33.0,30.0,41.0,31.0,50.0,46.0,52.0,49.0,34.0,48.0,33.0,30.0,41.0,31.0,50.0,46.0,52.0,49.0,34.0,52.0
65,C. Hall,19,England,53,65,Bolton Wanderers,ST,51.0,33.0,35.0,52.0,43.0,51.0,36.0,33.0,43.0,35.0,52.0,51.0,52.0,53.0,38.0,51.0,36.0,33.0,43.0,35.0,52.0,51.0,52.0,53.0,38.0,52.0
66,J. Knowles,20,England,53,61,Perth Glory,ST,47.0,32.0,32.0,50.0,40.0,47.0,33.0,32.0,40.0,32.0,50.0,46.0,52.0,48.0,34.0,47.0,33.0,32.0,40.0,32.0,50.0,46.0,52.0,48.0,34.0,52.0
67,T. Mannek,20,Germany,53,62,SC Paderborn 07,ST,45.0,41.0,37.0,48.0,41.0,45.0,37.0,41.0,41.0,37.0,48.0,44.0,52.0,46.0,37.0,45.0,37.0,41.0,41.0,37.0,48.0,44.0,52.0,46.0,37.0,52.0
68,S. Brady,21,Australia,53,64,Brisbane Roar,ST,53.0,40.0,43.0,52.0,49.0,53.0,46.0,40.0,49.0,43.0,52.0,53.0,49.0,53.0,46.0,53.0,46.0,40.0,49.0,43.0,52.0,53.0,49.0,53.0,46.0,49.0
69,C. Ellis,20,Republic of Ireland,53,66,Cork City,ST,48.0,34.0,36.0,50.0,43.0,48.0,38.0,34.0,43.0,36.0,50.0,49.0,52.0,50.0,39.0,48.0,38.0,34.0,43.0,36.0,50.0,49.0,52.0,50.0,39.0,52.0
70,L. Pompilio,25,Italy,53,56,Foggia,ST,48.0,30.0,32.0,50.0,43.0,48.0,32.0,30.0,43.0,32.0,50.0,46.0,52.0,48.0,34.0,48.0,32.0,30.0,43.0,32.0,50.0,46.0,52.0,48.0,34.0,52.0
71,C. Saunders,21,Wales,53,63,Notts County,ST,51.0,31.0,36.0,52.0,46.0,51.0,37.0,31.0,46.0,36.0,52.0,52.0,52.0,52.0,39.0,51.0,37.0,31.0,46.0,36.0,52.0,52.0,52.0,52.0,39.0,52.0
72,W. Nowak,18,Poland,53,69,Sandecja Nowy Sącz,ST,46.0,33.0,32.0,48.0,40.0,46.0,33.0,33.0,40.0,32.0,48.0,46.0,52.0,47.0,34.0,46.0,33.0,33.0,40.0,32.0,48.0,46.0,52.0,47.0,34.0,52.0
73,J. Umerah,20,Nigeria,53,70,Wycombe Wanderers,ST,49.0,34.0,36.0,51.0,45.0,49.0,36.0,34.0,45.0,36.0,51.0,48.0,52.0,49.0,37.0,49.0,36.0,34.0,45.0,36.0,51.0,48.0,52.0,49.0,37.0,52.0
74,T. Blake,19,England,53,66,Mansfield Town,ST,54.0,41.0,43.0,53.0,50.0,54.0,45.0,41.0,50.0,43.0,53.0,54.0,52.0,54.0,46.0,54.0,45.0,41.0,50.0,43.0,53.0,54.0,52.0,54.0,46.0,52.0
75,C. Peters,18,England,53,69,Walsall,ST,47.0,30.0,32.0,49.0,41.0,47.0,35.0,30.0,41.0,32.0,49.0,47.0,52.0,49.0,36.0,47.0,35.0,30.0,41.0,32.0,49.0,47.0,52.0,49.0,36.0,52.0
76,B. Babic,19,Switzerland,53,62,FC St. Gallen,ST,48.0,31.0,32.0,50.0,42.0,48.0,33.0,31.0,42.0,32.0,50.0,46.0,52.0,48.0,34.0,48.0,33.0,31.0,42.0,32.0,50.0,46.0,52.0,48.0,34.0,52.0
77,A. Al Obud,22,Saudi Arabia,53,63,Ettifaq FC,ST,50.0,29.0,32.0,51.0,43.0,50.0,34.0,29.0,43.0,32.0,51.0,49.0,52.0,50.0,35.0,50.0,34.0,29.0,43.0,32.0,51.0,49.0,52.0,50.0,35.0,52.0
78,K. Sterling,18,England,53,73,Tottenham Hotspur,ST,49.0,30.0,32.0,51.0,42.0,49.0,35.0,30.0,42.0,32.0,51.0,49.0,52.0,51.0,37.0,49.0,35.0,30.0,42.0,32.0,51.0,49.0,52.0,51.0,37.0,52.0
79,M. Doyle,18,Republic of Ireland,53,63,Drogheda United,ST,48.0,32.0,34.0,51.0,43.0,48.0,37.0,32.0,43.0,34.0,51.0,49.0,52.0,50.0,38.0,48.0,37.0,32.0,43.0,34.0,51.0,49.0,52.0,50.0,38.0,52.0
80,R. Deakin,20,Wales,53,61,Morecambe,ST,46.0,30.0,30.0,48.0,40.0,46.0,31.0,30.0,40.0,30.0,48.0,45.0,52.0,47.0,32.0,46.0,31.0,30.0,40.0,30.0,48.0,45.0,52.0,47.0,32.0,52.0
81,A. Zeqiri,18,Switzerland,53,75,FC Lausanne-Sports,ST,48.0,32.0,32.0,51.0,42.0,48.0,34.0,32.0,42.0,32.0,51.0,48.0,52.0,49.0,35.0,48.0,34.0,32.0,42.0,32.0,51.0,48.0,52.0,49.0,35.0,52.0
82,J. Antwi-Nyame,18,England,53,68,AFC Wimbledon,ST,48.0,31.0,33.0,49.0,41.0,48.0,36.0,31.0,41.0,33.0,49.0,49.0,52.0,50.0,37.0,48.0,36.0,31.0,41.0,33.0,49.0,49.0,52.0,50.0,37.0,52.0
83,L. Krakowczyk,19,Poland,53,69,Piast Gliwice,ST,53.0,29.0,33.0,54.0,46.0,53.0,34.0,29.0,46.0,33.0,54.0,52.0,52.0,54.0,37.0,53.0,34.0,29.0,46.0,33.0,54.0,52.0,52.0,54.0,37.0,52.0
84,G. Foulon,18,France,53,72,Valenciennes FC,ST,52.0,31.0,35.0,53.0,46.0,52.0,35.0,31.0,46.0,35.0,53.0,51.0,52.0,52.0,37.0,52.0,35.0,31.0,46.0,35.0,53.0,51.0,52.0,52.0,37.0,52.0
85,O. Edlund,17,Sweden,53,65,Hammarby IF,ST,51.0,31.0,37.0,51.0,47.0,51.0,35.0,31.0,47.0,37.0,51.0,49.0,52.0,49.0,36.0,51.0,35.0,31.0,47.0,37.0,51.0,49.0,52.0,49.0,36.0,52.0
86,H. Logan,18,England,53,72,Milton Keynes Dons,ST,52.0,38.0,43.0,50.0,50.0,52.0,43.0,38.0,50.0,43.0,50.0,52.0,47.0,51.0,44.0,52.0,43.0,38.0,50.0,43.0,50.0,52.0,47.0,51.0,44.0,47.0
87,M. Ramkilde,19,Denmark,53,68,Aalborg BK,ST,50.0,43.0,44.0,51.0,48.0,50.0,43.0,43.0,48.0,44.0,51.0,50.0,52.0,50.0,43.0,50.0,43.0,43.0,48.0,44.0,51.0,50.0,52.0,50.0,43.0,52.0
88,H. Al Jasim,22,Saudi Arabia,53,60,Al Fateh,ST,48.0,38.0,40.0,50.0,45.0,48.0,38.0,38.0,45.0,40.0,50.0,47.0,52.0,48.0,39.0,48.0,38.0,38.0,45.0,40.0,50.0,47.0,52.0,48.0,39.0,52.0
89,J. Margetts,23,England,54,62,Scunthorpe United,ST,50.0,31.0,34.0,53.0,44.0,50.0,36.0,31.0,44.0,34.0,53.0,50.0,53.0,52.0,37.0,50.0,36.0,31.0,44.0,34.0,53.0,50.0,53.0,52.0,37.0,53.0
90,S. Quigley,24,England,54,59,Blackpool,ST,46.0,37.0,34.0,49.0,41.0,46.0,34.0,37.0,41.0,34.0,49.0,45.0,53.0,46.0,35.0,46.0,34.0,37.0,41.0,34.0,49.0,45.0,53.0,46.0,35.0,53.0
91,M. Kennedy,20,Northern Ireland,54,64,Charlton Athletic,ST,51.0,35.0,37.0,53.0,46.0,51.0,39.0,35.0,46.0,37.0,53.0,53.0,54.0,54.0,41.0,51.0,39.0,35.0,46.0,37.0,53.0,53.0,54.0,54.0,41.0,54.0
92,R. Tierney,19,Scotland,54,67,Hamilton Academical FC,ST,50.0,32.0,32.0,52.0,43.0,50.0,35.0,32.0,43.0,32.0,52.0,49.0,53.0,51.0,36.0,50.0,35.0,32.0,43.0,32.0,52.0,49.0,53.0,51.0,36.0,53.0
93,S. Boyd,19,Republic of Ireland,54,68,Shamrock Rovers,ST,51.0,34.0,38.0,52.0,46.0,51.0,37.0,34.0,46.0,38.0,52.0,51.0,53.0,51.0,39.0,51.0,37.0,34.0,46.0,38.0,52.0,51.0,53.0,51.0,39.0,53.0
94,N. Dyachenko,21,Russia,54,62,FC SKA-Energiya Khabarovsk,ST,48.0,37.0,38.0,50.0,45.0,48.0,39.0,37.0,45.0,38.0,50.0,49.0,53.0,50.0,40.0,48.0,39.0,37.0,45.0,38.0,50.0,49.0,53.0,50.0,40.0,53.0
95,J. Capacho,19,Colombia,54,67,Atlético Bucaramanga,ST,50.0,30.0,32.0,52.0,43.0,50.0,34.0,30.0,43.0,32.0,52.0,49.0,53.0,51.0,35.0,50.0,34.0,30.0,43.0,32.0,52.0,49.0,53.0,51.0,35.0,53.0
96,L. Pintor,16,France,54,78,Stade Brestois 29,ST,49.0,25.0,26.0,52.0,38.0,49.0,30.0,25.0,38.0,26.0,52.0,47.0,53.0,52.0,31.0,49.0,30.0,25.0,38.0,26.0,52.0,47.0,53.0,52.0,31.0,53.0
97,E. Botheim,17,Norway,54,74,Rosenborg BK,ST,50.0,32.0,33.0,52.0,44.0,50.0,35.0,32.0,44.0,33.0,52.0,49.0,53.0,51.0,36.0,50.0,35.0,32.0,44.0,33.0,52.0,49.0,53.0,51.0,36.0,53.0
98,I. Meite,20,England,54,67,Crawley Town,ST,48.0,31.0,32.0,51.0,42.0,48.0,33.0,31.0,42.0,32.0,51.0,46.0,53.0,48.0,34.0,48.0,33.0,31.0,42.0,32.0,51.0,46.0,53.0,48.0,34.0,53.0
99,I. Keita,21,France,54,68,Finn Harps,ST,50.0,38.0,35.0,52.0,42.0,50.0,36.0,38.0,42.0,35.0,52.0,50.0,53.0,51.0,36.0,50.0,36.0,38.0,42.0,35.0,52.0,50.0,53.0,51.0,36.0,53.0
100,A. Linnér,18,Sweden,54,64,AIK Solna,ST,53.0,31.0,36.0,53.0,47.0,53.0,36.0,31.0,47.0,36.0,53.0,52.0,53.0,52.0,38.0,53.0,36.0,31.0,47.0,36.0,53.0,52.0,53.0,52.0,38.0,53.0
